"['python .', 6, 0, 0]"
"['supervise learning', 20, 0, 0]"
"['visualization .', 1, 0, 0]"
"['m word', 4, 0, 0]"
"['word', 28, 43, 1.5357142857142858]"
"['laboratory', 10, 19, 1.9]"
"['time management', 6, 0, 0]"
"['documentation', 7, 65, 9.285714285714286]"
"['gmp', 23, 0, 0]"
"['cell culture', 28, 0, 0]"
"['hplc', 25, 0, 0]"
"['ssis', 4, 4, 1.0]"
"['spss', 31, 54, 1.7419354838709677]"
"['statistical analysis', 34, 0, 0]"
"['program development', 1, 0, 0]"
"['program evaluation', 1, 0, 0]"
"['client management', 1, 0, 0]"
"['client service', 1, 0, 0]"
"['vendor relation', 1, 0, 0]"
"['business analysis', 8, 0, 0]"
"['bilingual', 2, 0, 0]"
"['tidyverse', 1, 4, 4.0]"
"['predictive model', 1, 0, 0]"
"['hyperion', 1, 1, 1.0]"
"['spotfire', 10, 9, 0.9]"
"['problem solve', 12, 0, 0]"
"['bokeh', 1, 8, 8.0]"
"['heroku', 1, 0, 0]"
"['dask', 1, 3, 3.0]"
"['scikit learn', 2, 0, 0]"
"['pyod', 1, 0, 0]"
"['boto3', 1, 0, 0]"
"['beautifulsoup', 1, 1, 1.0]"
"['regression', 3, 173, 57.666666666666664]"
"['unsupervised learning', 1, 0, 0]"
"['knn', 1, 18, 18.0]"
"['outlier detection', 1, 0, 0]"
"['regularize regression', 1, 0, 0]"
"['cart', 1, 2, 2.0]"
"['naive_bayes', 1, 0, 0]"
"['xgboost', 3, 10, 3.3333333333333335]"
"['adaboost', 1, 1, 1.0]"
"['stochastic gradient boosting', 1, 0, 0]"
"['bagging', 1, 4, 4.0]"
"['optimization', 21, 223, 10.619047619047619]"
"['networkx', 1, 2, 2.0]"
"['anomaly detection', 7, 0, 0]"
"['amazon sagemaker', 1, 0, 0]"
"['uml', 5, 0, 0]"
"['flow cytometry', 5, 0, 0]"
"['qpcr', 2, 0, 0]"
"['sop', 2, 0, 0]"
"['biology', 16, 20, 1.25]"
"['immunology', 4, 0, 0]"
"['prism', 1, 0, 0]"
"['luminex', 1, 0, 0]"
"['protein expression', 1, 0, 0]"
"['cell base assay', 2, 0, 0]"
"['assay development', 2, 0, 0]"
"['immune base assay', 1, 0, 0]"
"['image analysis', 1, 0, 0]"
"['facs diva / flowjo', 1, 0, 0]"
"['elisa / msd / alpha lisa', 1, 0, 0]"
"['moa / target engagement', 1, 0, 0]"
"['primary cell', 1, 0, 0]"
"['cell isolation / mac separation', 1, 0, 0]"
"['microsoft word', 12, 0, 0]"
"['elisa', 23, 0, 0]"
"['artificial intelligence', 7, 0, 0]"
"['linux/unix', 2, 0, 0]"
"['devops', 4, 11, 2.75]"
"['prototyping', 2, 29, 14.5]"
"['solidworks', 4, 0, 0]"
"['rapid prototyping', 1, 0, 0]"
"['printing', 1, 2, 2.0]"
"['latent dirichlet allocation', 8, 0, 0]"
"['sentiment analysis', 17, 0, 0]"
"['tableau server', 6, 0, 0]"
"['informix', 2, 0, 0]"
"['m sql server 2008', 3, 0, 0]"
"['sql server 2008', 8, 0, 0]"
"['udb', 2, 0, 0]"
"['glp', 3, 0, 0]"
"['lims', 2, 0, 0]"
"['regulatory document', 1, 0, 0]"
"['iso', 2, 1, 0.5]"
"['report write', 1, 0, 0]"
"['photoshop', 7, 0, 0]"
"['illustrator', 3, 0, 0]"
"['technical report write', 1, 0, 0]"
"['formulation', 18, 7, 0.3888888888888889]"
"['chemistry', 29, 9, 0.3103448275862069]"
"['microsoft window', 2, 0, 0]"
"['solaris', 6, 0, 0]"
"['sun', 5, 2, 0.4]"
"['forecasting', 14, 105, 7.5]"
"['web data scrap', 1, 0, 0]"
"['jmp .', 1, 0, 0]"
"['python ( numpy , pandas , scikit-learn , matplotlib ) , r , sa , sql , spss , tableau , oracle business intelligent enterprise , rstudio , microsoft office excel ,', 1, 0, 0]"
"['linear regression , logistic regression , knn , decision tree , random forest , support vector machine , boost ( gradient boosting , adaboost , xgboost ) , neural network , unsupervised learning ( cluster , principal component analysis , factor analysis ) , complex linear model ( ridge/lasso regression ) , time series analysis ( arima , exponential smoothing , facebook prophet )', 1, 0, 0]"
"['apache hadoop oozie', 1, 0, 0]"
"['bi', 31, 74, 2.3870967741935485]"
"['crystal report', 4, 0, 0]"
"['informatica .', 3, 0, 0]"
